,Date,Rice,Flour,Pork,Chicken,Egg,Leaf lettuce,Celery,Lettuce,Cabbage,White Radish,Potato,Ginger,cucumber,white gourd,Bitter ground,Green bean,Tomato,Eggplant,Chili,Green pepper,Onion,Garlic,Apple,Banana,Grape,Pear,Watermelon,Carp,chub,Grass carp,crucian,hairtail, yellow croaker
1,2006/7/7,4,3.65,10.4,12.63,5.42,1.65,1.55,2.1,0.82,0.81,1.31,3.49,1.15,1.04,2.04,1.98,1.4,1.12,1.89,1.77,1.21,4.22,5.43,3.32,5.92,3.64,1.15,7.95,5.18,9.48,10.02,12.61,18.15
2,2006/7/14,4.03,3.67,10.42,12.7,5.4,1.44,1.34,1.82,0.76,0.75,1.17,3.1,0.97,0.91,1.83,1.95,1.14,0.94,1.5,1.45,1.11,3.61,5.5,3.1,5.41,3.54,0.99,8.28,6.63,9.69,9.93,12.13,16.9
3,2006/7/21,3.97,3.61,10.56,12.85,5.41,1.58,1.31,1.9,0.79,0.79,1.12,3,1.04,0.83,1.74,1.89,1.14,0.95,1.51,1.44,1.13,3.44,4.92,3.04,5.52,3.55,0.88,8.15,6.86,9.87,9.6,13.17,17.15
4,2006/7/28,3.93,3.56,10.82,12.99,5.64,1.79,1.51,2.34,0.91,0.87,1.17,3.12,1.26,0.71,1.82,2.14,1.23,1.06,1.47,1.39,1.26,3.27,4.82,2.89,4.46,3.01,0.77,7.92,6.45,9.29,9.33,13.89,17.53
5,2006/8/4,3.97,3.54,10.95,13.02,5.98,2.14,1.62,2.65,0.91,0.89,1.16,3.12,1.25,0.64,2.03,2.21,1.25,1.06,1.42,1.4,1.25,3.24,4.53,2.91,4.04,2.85,0.81,7.97,6.45,9.57,9.79,14.09,19.71
6,2006/8/11,4.1,3.57,10.96,13.13,6.03,1.93,1.78,2.52,0.98,0.86,1.15,3.2,1.25,0.65,1.86,2.06,1.28,1.05,1.58,1.49,1.33,3.5,3.81,2.94,3.87,2.85,0.92,8.05,6.45,9.65,9.83,13.93,18.94
7,2006/8/18,4.1,3.58,10.9,13.17,6.1,1.87,1.6,2.68,1.03,0.87,1.17,3.08,1.34,0.59,1.75,1.98,1.26,0.93,1.46,1.36,1.37,3.61,3.39,2.78,3.74,2.62,0.97,8.01,7.19,10.02,9.76,14.59,19.2
8,2006/8/25,4.08,3.61,10.96,13.14,6.11,1.69,1.68,2.62,1.09,0.93,1.08,3.24,1.51,0.63,1.74,2.18,1.31,1.01,1.38,1.38,1.39,3.68,3.36,2.9,3.48,2.59,1.08,7.99,7.04,9.49,9.32,14.63,23.06
9,2006/9/1,4.05,3.62,11.04,12.96,6.18,1.73,1.72,2.9,1.14,0.94,1.15,3.2,1.56,0.56,1.62,2.19,1.46,1.07,1.54,1.55,1.53,3.92,3.36,2.89,3.55,2.24,1.17,8.2,7.07,9.61,9.64,13.71,23.39
10,2006/9/8,4.03,3.57,11.19,13.01,6.21,2.03,1.83,3.28,1.26,1.01,1.21,3.16,2.07,0.56,2.06,2.59,1.64,1.29,1.63,1.62,1.59,3.96,3.31,2.96,3.66,2.25,1.19,8.19,7.43,10,9.5,13.27,23.13
11,2006/9/15,4.08,3.56,11.35,13,6.4,2.04,1.84,3.3,1.38,1.21,1.23,2.99,2.17,0.58,2.52,2.92,1.94,1.54,1.69,1.61,1.67,4.01,3.39,2.87,3.86,2.43,1.21,7.58,6.94,9.52,9.42,13.57,18.86
12,2006/9/22,4.12,3.59,11.64,13.02,6.5,1.85,1.93,2.87,1.27,1.07,1.2,2.99,1.76,0.59,2.65,2.6,1.85,1.53,1.71,1.71,1.79,4.02,3.12,3.01,3.77,2.52,1.28,7.62,7.38,9.42,9.26,13.49,19.38
13,2006/9/29,4.12,3.61,11.59,12.96,6.59,1.71,1.84,2.5,1.09,1.03,1.25,3.01,1.64,0.61,2.53,2.46,1.73,1.43,1.76,1.79,1.85,4.1,3.18,2.98,3.67,2.34,1.38,7.56,7.22,9.42,9.23,14.08,20.22
14,2006/10/6,4.12,3.61,11.6,13.19,6.62,1.48,1.78,2.26,0.93,0.98,1.16,3.04,1.58,0.56,2.66,2.21,1.63,1.31,1.84,1.88,1.79,3.98,3.14,3.01,3.86,2.21,1.53,7.82,6.98,9.33,9.2,14.32,19.92
15,2006/10/13,4.06,3.62,11.65,13.36,6.46,1.17,1.55,1.83,0.78,0.9,1.24,2.83,1.31,0.6,2.57,1.88,1.53,1.28,1.8,1.81,1.79,4.04,3.26,3.08,3.83,2.21,1.56,7.78,6.87,9.41,9.15,13.27,20.5
16,2006/10/20,4.07,3.61,11.62,13.57,6.38,1.13,1.25,1.57,0.69,0.85,1.19,2.84,1.28,0.59,2.44,1.87,1.72,1.18,1.87,1.81,1.81,4.06,3.24,3.05,3.99,2.2,1.72,7.44,6.66,9.32,9.27,12.87,19.61
17,2006/10/27,4.07,3.56,11.77,13.54,6.4,1.22,1.26,1.78,0.72,0.81,1.22,2.85,1.56,0.6,2.75,2.12,1.89,1.35,1.69,1.72,1.86,4.4,3.24,2.99,3.99,2.16,1.78,7.35,6.62,8.93,9.15,13.61,21.07
18,2006/11/3,4,3.55,12.08,13.5,6.35,1.31,1.41,1.77,0.68,0.84,1.28,2.95,1.75,0.64,3.07,2.47,1.92,1.53,1.71,1.79,1.91,4.55,3.27,2.96,4.12,2.04,1.98,7.83,6.86,9.28,9.38,14.3,22.36
19,2006/11/10,4.02,3.64,11.99,13.43,6.3,1.2,1.33,1.64,0.69,0.76,1.26,2.88,1.76,0.59,3.12,2.74,1.85,1.55,1.68,1.75,1.98,4.62,3.25,3.02,4.12,2.04,2.12,7.53,6.49,9.15,9.15,13.66,20.66
